theta_0,theta_1,distances,
0.00117349, 0.110489, 252.715, 
0.00147741, 0.0485373, 64.8501, 
0.00225847, 0.118254, 71.204, 
0.00105291, 0.116408, 267.236, 
0.00246046, 0.027667, 98.862, 
0.000562604, 0.0755836, 289.729, 
0.00158377, 0.113373, 172.816, 
0.00200422, 0.0322141, 84.7217, 
0.0010335, 0.145171, 291.366, 
0.00123495, 0.149949, 282.981, 
0.00290993, 0.0736764, 70.5743, 
9.41213e-05, 0.101241, 324.132, 
0.00151971, 0.050729, 57.6611, 
0.000383981, 0.0303269, 266.319, 
0.000888653, 0.0779295, 241.605, 
0.00218342, 0.164148, 165.578, 
0.00294187, 0.0788566, 70.5738, 
0.00108465, 0.0502536, 111.911, 
0.00250537, 0.0987274, 45.6108, 
0.001987, 0.116926, 108.751, 
0.000185481, 0.131474, 322.841, 
0.00245125, 0.0958425, 48.7915, 
0.00150448, 0.168381, 268.647, 
0.00106533, 0.155166, 296.385, 
0.00237953, 0.181632, 184.95, 
0.00268893, 0.0303857, 97.2971, 
0.0026777, 0.0529416, 76.4674, 
0.00186382, 0.1665, 223.79, 
